//정자세
2020-11-07 18:23:21.567 17010-17010/com.klab.upright D/textsave:
-73.34,-7.26,-14.91
-73.3,-7.3,-14.94
-73.3,-7.25,-14.95
-73.31,-7.23,-14.96
-73.32,-7.25,-14.94
-73.38,-7.28,-14.85
-73.34,-7.25,-14.92
-73.47,-7.18,-14.81
-73.31,-7.3,-14.93
-73.45,-7.19,-14.83
-72.96,-7.38,-15.27
-74.53,-6.77,-13.84
-75.19,-5.6,-13.67
-75.5,-5.65,-13.31
-75.29,-5.56,-13.57
-75.18,-5.6,-13.68
-75.34,-5.58,-13.51
-75.33,-5.5,-13.56

//앉은자세 level3
2020-11-07 18:30:42.700 17010-17010/com.klab.upright D/textsave:
-78.67,-2.16,11.12
-78.8,-2.0,11.02
-79.04,-2.19,10.73
-78.8,-2.2,10.98
-79.03,-2.11,10.76
-79.15,-2.14,10.63
-79.12,-2.26,10.63
-79.09,-2.17,10.69
-79.14,-2.2,10.63
-79.02,-2.13,10.77
-79.02,-2.27,10.73
-78.72,-2.2,11.06
-79.28,-2.01,10.52
-78.88,-2.13,10.91
-79.16,-2.1,10.63
-79.09,-2.21,10.67
-79.18,-2.23,10.59
-79.29,-2.23,10.47
-79.51,-2.25,10.24
-79.5,-2.37,10.23
-78.41,-2.19,11.37
-78.65,-2.35,11.1
-79.17,-2.17,10.6
-79.33,-2.19,10.44
-79.22,-2.37,10.51
-79.46,-2.36,10.26
-79.26,-2.38,10.47
-79.53,-2.32,10.2
-79.36,-2.33,10.37
-79.32,-2.43,10.4
-79.6,-2.35,10.12
-79.8,-2.45,9.89
-79.45,-2.32,10.29
-79.66,-2.3,10.08
-79.51,-2.31,10.23
-79.71,-2.35,10.01
-79.75,-2.37,9.97
-79.75,-2.27,9.99
-80.2,-2.35,9.51
-79.82,-2.25,9.92
-80.38,-2.25,9.35
-81.39,-2.25,8.31
-81.15,-2.68,8.43
-81.08,-2.06,8.68
-80.43,-2.33,9.27
-77.36,-2.35,12.42
-77.89,-2.34,11.88
-78.34,-2.62,11.35
-78.3,-2.33,11.46
-78.42,-1.98,11.41
-78.43,-2.35,11.32
-78.72,-2.09,11.08
-78.42,-2.06,11.39
-78.53,-2.12,11.27
-78.56,-2.18,11.22
-78.49,-1.95,11.34
-78.63,-2.13,11.16
-78.62,-2.16,11.17
-78.55,-2.12,11.25
-77.97,-2.22,11.82
-78.36,-2.13,11.43
-77.77,-2.22,12.02
-78.1,-2.46,11.64
-78.38,-2.15,11.41
-78.3,-2.28,11.46
-78.27,-2.3,11.49
-77.12,-2.49,12.63
-77.25,-2.46,12.5
-77.74,-2.43,12.01
-77.92,-2.4,11.84
-78.1,-2.25,11.68
-78.09,-2.34,11.67
-78.02,-2.42,11.73
-78.18,-2.42,11.57
-78.18,-2.35,11.58
-78.22,-2.4,11.53
-78.47,-2.33,11.29
-78.22,-2.44,11.52
-78.14,-2.69,11.54
-77.74,-2.35,12.03
-77.85,-2.41,11.9
-78.01,-2.33,11.75
-78.25,-2.41,11.49
-78.21,-2.2,11.58
-77.91,-2.41,11.84
-77.75,-2.29,12.03
-78.37,-2.39,11.38
-78.53,-2.38,11.22
-78.49,-2.4,11.26
-78.48,-2.4,11.26
-78.11,-2.35,11.65
-78.54,-2.23,11.24
-78.5,-2.27,11.27
-78.57,-2.18,11.22
-78.71,-2.29,11.05


//앉은자세 level4
2020-11-07 18:32:41.028 17010-17010/com.klab.upright D/textsave:
-75.5,-2.46,14.28
-75.44,-2.3,14.36
-74.81,-2.29,15.01
-75.25,-2.27,14.56
-75.61,-2.34,14.19
-75.4,-2.36,14.4
-75.34,-2.33,14.47
-75.64,-2.31,14.17
-75.35,-2.33,14.46
-75.3,-2.51,14.47
-73.79,-2.31,16.04
-73.08,-2.51,16.72
-73.7,-2.48,16.1
-73.46,-2.42,16.35
-73.79,-2.51,16.0
-73.9,-2.55,15.88
-74.39,-2.54,15.39
-74.3,-2.62,15.47
-73.96,-2.61,15.82
-74.38,-2.56,15.39
-73.92,-2.52,15.87
-74.09,-2.64,15.68
-74.16,-2.54,15.63
-74.26,-2.58,15.52
-74.12,-2.52,15.67
-73.41,-2.55,16.38
-74.05,-2.72,15.71
-74.32,-2.58,15.46
-73.69,-2.66,16.08
-73.88,-2.79,15.87
-74.01,-2.84,15.73
-74.17,-2.77,15.58
-74.02,-2.73,15.73
-73.82,-2.78,15.92
-74.25,-2.76,15.5
-73.81,-2.74,15.94
-73.99,-2.71,15.77
-74.42,-2.8,15.31
-73.69,-2.78,16.05
-74.3,-2.68,15.46
-74.32,-2.74,15.42
-73.6,-2.89,16.13
-74.4,-2.71,15.35
-74.18,-2.76,15.57
-73.9,-2.79,15.84
-74.22,-2.75,15.52
-73.61,-3.15,16.07
-73.8,-2.75,15.95
-74.12,-3.02,15.57
-73.76,-3.0,15.95
-73.04,-2.82,16.71
-73.39,-2.95,16.33
-72.43,-2.95,17.31
-72.84,-2.77,16.93
-72.86,-2.79,16.89
-73.06,-3.15,16.62
-73.41,-3.02,16.3
-73.75,-3.24,15.91
-73.36,-3.16,16.32
-73.62,-2.63,16.15
-74.04,-2.95,15.67
-73.67,-2.91,16.05
-73.81,-3.02,15.89
-73.72,-2.92,16.0
-74.17,-2.79,15.57
-74.4,-2.9,15.32
-74.2,-3.32,15.43
-74.4,-2.82,15.33
-73.5,-3.07,16.19
-73.75,-2.89,15.98
-74.28,-2.84,15.45
-74.1,-2.91,15.61
-73.73,-2.96,15.99
-73.93,-2.93,15.79
-73.94,-2.96,15.77
-73.77,-2.93,15.95
-74.11,-2.82,15.62
-73.86,-3.04,15.83
-74.0,-2.95,15.72
-74.13,-2.97,15.58
-74.01,-2.88,15.72
-74.55,-2.91,15.16

//앉은자세 level5 (엎드린)
2020-11-07 18:34:37.542 17010-17010/com.klab.upright D/textsave:
-41.57,-0.76,48.42
-41.49,-0.82,48.5
-41.49,-0.73,48.5
-41.38,-0.72,48.61
-41.25,-0.63,48.74
-41.58,-0.68,48.41
-41.42,-0.73,48.57
-41.47,-0.73,48.52
-41.67,-0.83,48.31
-41.54,-0.78,48.45
-41.5,-0.74,48.49
-41.25,-0.68,48.74
-41.5,-0.74,48.5
-41.48,-1.01,48.5
-40.78,0.27,49.22
-48.4,-2.13,41.52
-47.24,-1.71,42.71
-50.7,-1.69,39.25
-52.34,-0.92,37.65
-53.07,-1.73,36.87
-54.25,-1.82,35.69
-53.72,-1.6,36.23
-53.86,-1.83,36.08
-53.98,-1.91,35.95
-54.35,-2.12,35.57
-53.85,-1.88,36.09
-54.1,-1.83,35.84
-53.76,-1.65,36.19
-53.61,-1.68,36.34
-53.63,-1.94,36.3
-53.7,-1.71,36.25
-53.51,-1.94,36.42
-53.67,-1.83,36.27
-53.77,-1.78,36.17
-53.74,-1.6,36.21
-53.83,-1.73,36.12
-53.88,-1.82,36.06
-53.82,-1.71,36.13
-53.99,-1.5,35.97
-53.88,-1.68,36.07
-53.9,-1.94,36.03
-53.8,-1.79,36.14
-54.04,-2.0,35.88
-54.17,-1.74,35.77
-53.62,-2.14,36.3
-54.07,-1.9,35.87
-54.17,-1.65,35.78
-53.84,-1.66,36.1
-54.12,-1.73,35.83
-53.99,-2.01,35.94
-53.92,-1.68,36.03
-54.11,-2.02,35.81
-54.29,-2.16,35.63
-53.98,-1.82,35.96
-54.25,-2.1,35.67
-54.2,-2.15,35.71
-54.22,-1.93,35.71
-54.52,-1.87,35.42
-54.29,-2.0,35.63
-54.22,-2.08,35.7
-54.22,-1.91,35.71
-54.24,-1.99,35.69
-54.3,-2.01,35.63
-54.4,-2.05,35.53
-54.17,-1.97,35.76
-54.23,-1.94,35.7
-54.33,-1.96,35.6
-54.17,-2.04,35.75
-54.28,-1.85,35.66
-54.12,-2.11,35.8
-52.21,-2.22,37.71
-50.55,-2.31,39.36
-50.5,-1.88,39.44
-50.24,-2.49,39.65
-50.34,-2.59,39.54
-49.3,-1.66,40.65
-49.72,-0.87,40.26
-49.39,-1.62,40.56
-49.31,-2.01,40.62
-49.88,-1.87,40.05
-49.34,-1.63,40.61
-52.39,-2.7,37.48
-52.07,-2.19,37.84
-49.88,-1.14,40.09
-49.9,-1.06,40.08
-50.3,-1.5,39.66
-49.76,-1.02,40.22
-49.22,-1.28,40.75
-49.29,-1.46,40.67
-48.97,-1.11,41.0
-49.56,-0.81,40.43
-49.42,-1.15,40.55
-49.01,-0.66,40.98


